MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tróc T¬ ®éng tÇng 3
29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	¸m khÝ phßng
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Háa khÝ phßng
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vâ c«ng phßng
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Y d­îc phßng
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phßng kh¸ch
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phßng nghÞ sù
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh phßng
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÕ tæ ®­êng
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 BiÖn Kinh
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕt th¸p tÇng 1 
39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕt th¸p tÇng 2 
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕt th¸p tÇng 3
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phôc Ng­u S¬n T©y
42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn T©m ®éng
43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	KiÕm C¸c Trung Nguyªn
44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChiÕn tr­êng Tèng Kim
45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn gi¸o
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn Gi¸o tÇng 1
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn Gi¸o tÇng 2
48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn Gi¸o tÇng 2
49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn NhÉn Gi¸o tÇng 3
50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThÊt S¸t ®éng
51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¸nh ®éng tÇng 1
52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¸nh ®éng tÇng 2
53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ba L¨ng huyÖn
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nam Nh¹c trÊn
55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa Nguyªn
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoµnh S¬n Ph¸i
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoµnh S¬n ®¹i ®×nh
58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§éc C« KiÕm Ngäa thÊt
59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn V­¬ng Bang
60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TiÒn ®iÖn
61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn V­¬ng §¹i ®iÖn
62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈm cung
65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn V­¬ng ®¶o s¬n ®éng
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¸y §éng §×nh hå tÇng 1
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¸y §éng §×nh hå tÇng 2
68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thanh Loa ®¶o
69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thanh Loa ®¶o s¬n ®éng
70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vò L¨ng s¬n
71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¹ch Thñy ®éng
72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹i Tï ®éng
73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phôc L­u ®éng
74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Miªu LÜnh
75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kho¶ Lang ®éng
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	S¬n B¶o ®éng
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	YÕn Tö ®éng
78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 T­¬ng D­¬ng
79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	MËt ®¹o Nha m«n T­¬ng D­¬ng
80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 D­¬ng Ch©u
81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vâ §ang ph¸i
82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mª cung §¸y giÕng
83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Háa Lang ®éng
84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tö Tiªu ®¹i ®iÖn
85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThËp Ph­¬ng ®iÖn
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phô MÉu ®iÖn
87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Hæ ®iÖn
90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phôc Ng­u S¬n §«ng
91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mª cung Kª Qu¸n ®éng
92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thôc C­¬ng s¬n
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TiÕn Cóc ®éng
94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Linh Cèc ®éng
99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	VÜnh L¹c trÊn
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chu Tiªn trÊn
101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹o H­¬ng th«n
102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¸nh ®éng tÇng 2
103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m ph¸i
104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tµng Kinh C¸c
105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹t Ma §­êng
106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹i Hïng b¶o ®iÖn
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m §Ö tö phßng
108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ThiÕu L©m §Ö tö phßng
109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ph­¬ng tr­îng ThiÒn phßng
110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	La H¸n §­êng
111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Méc Nh©n H¹ng
112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn PhËt ®iÖn
113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	MËt thÊt ThiÕu L©m
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108 La H¸n trËn
115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C¸i Bang
116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T­êng V©n ®éng tÇng 1 
117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T­êng V©n ®éng tÇng 2
118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T­êng V©n ®éng tÇng 3
119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T­êng V©n ®éng tÇng 4
120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T­êng V©n ®éng tÇng 5
121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long M«n trÊn
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoµng Hµ Nguyªn §Çu
123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L·o Hæ ®éng
124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C¸n Viªn ®éng
125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 1
126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 2
127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 3
128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 4
129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 5
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­u Tiªn ®éng tÇng 6
131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C«n L«n ph¸i
132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¨ng HuyÖt ®éng
135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	KiÕn TÝnh Phong s¬n ®éng
136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kho¸i Ho¹t L©m
137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn Vi ®iÖn
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ChÝnh ®iÖn
139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tö Vi ®iÖn
140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­îc V­¬ng Cèc
141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­îc V­¬ng ®éng tÇng 1
142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­îc V­¬ng ®éng tÇng 2
143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­îc V­¬ng ®éng tÇng 3
144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­îc V­¬ng ®éng tÇng 4
145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 1
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 2
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 3
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 4
149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 5
150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 6
151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 7
152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TuyÕt B¸o ®éng tÇng 8
153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Th¹ch Cæ trÊn
154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thóy Yªn m«n
155	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¸ch Hoa ®×nh
156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	phßng §Ö tö
157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	phßng §Ö tö
158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mª cung cÊm ®Þa
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thñ Ngäc s¶nh
161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thóy Yªn LÇu
162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 §¹i Lý phñ 
163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	¸c b¸ ®Þa ®¹o
164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn TÇm th¸p tÇng 1
165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn TÇm th¸p tÇng 2
166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn TÇm th¸p tÇng 3
167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 §iÓm Th­¬ng s¬n
168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phông Nh·n ®éng
169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Nh·n ®éng
170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thæ PhØ ®éng
171	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm Th­¬ng ®éng tÇng 1
172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm Th­¬ng ®éng tÇng 2
173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§iÓm Th­¬ng ®éng tÇng 3
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long TuyÒn th«n
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	T©y S¬n th«n
176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 L©m An
177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ngù Hoa viªn
178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	S¬n ®éng Ngù Hoa viªn
179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	La Tiªu s¬n
180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Cung ®éng
181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L­ìng Thñy ®éng
182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NghiÖt Long ®éng
183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ngò §éc Gi¸o
184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	XÝch YÕt tr¹i
185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kim Xµ tr¹i
186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	MÆc Thï tr¹i
187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thanh Ng« tr¹i
188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ng©n ThiÒm tr¹i
189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tæng tr¹i
190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mª cung nhËp m«n
193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 Vò Di s¬n
194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ngäc Hoa ®éng
195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Nh¹n §·ng s¬n
196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­¬ng Gi¸c ®éng
197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiªn lao
198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thanh khª ®éng
199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vò L¨ng ®éng
200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Cæ D­¬ng ®éng
201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	B¨ng Hµ ®éng
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phï Dung ®éng
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	V« Danh ®éng
204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phi Thiªn ®éng
205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	D­¬ng Trung ®éng
206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÇn L¨ng tÇng 2
207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÇn L¨ng tÇng 3
208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§¹i lao
209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	DiÔn vâ tr­êng
212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoa S¬n tuyÖt ®Ønh
213	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 1
214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 2
215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 3
216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 4
217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 5
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 6
219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	L«i ®µi Bang héi 7
220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	DiÔn Vâ tr­êng 8
221	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C«ng thµnh chiÕn tr­êng
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HËu ph­¬ng bªn Thñ
223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HËu ph­¬ng bªn C«ng
224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sa m¹c ®Þa biÓu
225	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sa M¹c 1
226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sa M¹c 2
227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Sa M¹c 3
228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	HËu s¬n C«n L«n
229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÕ Tæ ®×nh (chiÕn ®Êu) 
230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trong thµnh §¹i Lý (chiÕn ®Êu) 
231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë Th­¬ng L­¬ng kh¸ch
232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë Chu V©n TuyÒn
233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	N¬i ë M¹c Kh«ng NguyÖt
234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Kim Xµ tr¹i (chiÕn ®Êu) 
235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (1) 
236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (2) 
237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (3) 
238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (4) 
239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (5) 
240	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (6) 
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	§µo Hoa ®¶o (7) 
242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (1) 
243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (2) 
244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (3) 
245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (4) 
246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (5) 
247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (6) 
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o (7) 
249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
250	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
251	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
256	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
257	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
258	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (1) 
259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
261	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
264	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
267	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (2) 
269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (3) 
279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (4) 
280	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (4) 
281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	TÈy Tñy ®¶o s¬n ®éng (4) 
